lon, lat
4.766178897581426, 60.21201352832469
4.769516711618849, 60.142295178575154
4.662706662415417, 60.46638383284608
4.63266633607617, 59.87534293890715
4.46577563419558, 60.73346559732684
5.905944058481623, 58.09777012550185
6.522970891160497, 57.89269173659278
6.010524877579087, 57.87601224931248
7.297641509945976, 63.656307573655255
5.690866671442905, 63.97302299403654
8.237431294780606, 64.92392100215997
11.296317613679832, 69.45006461274264
14.216167771084685, 70.23772132241066
11.16145032294844, 70.84046433414954
15.513067233524907, 71.71057967866858
33.373613501886894, 71.64381401520919
38.79687510428201, 70.77350370468122
34.881902273258845, 71.13005234997334
6.751106169345775, 67.76997760025796
7.489739398740568, 67.86592923645989
7.194003139651613, 67.58271978854853
7.201628767215453, 67.79767893933277
7.661297964216942, 67.7532020696689
7.009209103354493, 68.00679249591718
7.479568281680855, 68.07874092016107
8.591326339543684, 68.13852695014029
8.890645816661078, 67.59075413116139
7.725437852170558, 67.22112436553812
